Date,Region_Name,Area_Code,Average_Price_SA
1997-11-01,Yorkshire and The Humber,E12000003,44049
1997-11-01,London,E12000007,102315
1997-11-01,England and Wales,K04000001,56699
1997-12-01,Wales,W92000004,43629
1997-12-01,England,E92000001,57868
1997-12-01,North West,E12000002,42790
1997-12-01,South East,E12000008,80327
1997-12-01,Yorkshire and The Humber,E12000003,43679
1997-12-01,West Midlands Region,E12000005,52994
1997-12-01,London,E12000007,104217
1997-12-01,East Midlands,E12000004,48282
1997-12-01,North East,E12000001,41908
1997-12-01,South West,E12000009,61512
1997-12-01,East of England,E12000006,65372
1997-12-01,England and Wales,K04000001,56971
1998-01-01,England,E92000001,58795
1998-01-01,Wales,W92000004,43751
1998-01-01,London,E12000007,105011
1998-01-01,South East,E12000008,81220
1998-01-01,South West,E12000009,62210
1998-01-01,East Midlands,E12000004,49367
1998-01-01,West Midlands Region,E12000005,53318
1998-01-01,East of England,E12000006,66622
1998-01-01,North West,E12000002,43575
1998-01-01,North East,E12000001,42482
1998-01-01,Yorkshire and The Humber,E12000003,44662
1998-01-01,England and Wales,K04000001,57840
1998-02-01,Wales,W92000004,43720
1998-02-01,England,E92000001,59105
1998-02-01,South East,E12000008,82006
1998-02-01,London,E12000007,105576
1998-02-01,South West,E12000009,62528
1998-02-01,North East,E12000001,42294
1998-02-01,North West,E12000002,43375
1998-02-01,East Midlands,E12000004,49177
1998-02-01,East of England,E12000006,66830
1998-02-01,Yorkshire and The Humber,E12000003,44958
1998-02-01,West Midlands Region,E12000005,53411
1998-02-01,England and Wales,K04000001,58031
1998-03-01,Wales,W92000004,44506
1998-03-01,England,E92000001,59324
1998-03-01,London,E12000007,106951
1998-03-01,Yorkshire and The Humber,E12000003,44591
1998-03-01,East Midlands,E12000004,49310
1998-03-01,West Midlands Region,E12000005,53273
1998-03-01,South East,E12000008,82926
1998-03-01,South West,E12000009,63124
1998-03-01,East of England,E12000006,67439
1998-03-01,North East,E12000001,42783
1998-03-01,North West,E12000002,43546
1998-03-01,England and Wales,K04000001,58348
1998-04-01,Wales,W92000004,44665
1998-04-01,England,E92000001,59926
1998-04-01,East Midlands,E12000004,49729
1998-04-01,East of England,E12000006,68137
1998-04-01,London,E12000007,108517
1998-04-01,North East,E12000001,42603
1998-04-01,South West,E12000009,63731
1998-04-01,South East,E12000008,83986
1998-04-01,West Midlands Region,E12000005,53979
1998-04-01,Yorkshire and The Humber,E12000003,44602
1998-04-01,North West,E12000002,44004
1998-04-01,England and Wales,K04000001,58898
1998-05-01,Wales,W92000004,44753
1998-05-01,England,E92000001,60235
1998-05-01,Yorkshire and The Humber,E12000003,44747
1998-05-01,East of England,E12000006,68828
1998-05-01,West Midlands Region,E12000005,54004
1998-05-01,South East,E12000008,84591
1998-05-01,North West,E12000002,44454
1998-05-01,North East,E12000001,42428
1998-05-01,South West,E12000009,64397
1998-05-01,London,E12000007,107816
1998-05-01,East Midlands,E12000004,50098
1998-05-01,England and Wales,K04000001,59228
1998-06-01,England,E92000001,60425
1998-06-01,Wales,W92000004,44650
1998-06-01,South West,E12000009,64040
1998-06-01,South East,E12000008,85079
1998-06-01,North East,E12000001,42991
1998-06-01,London,E12000007,109581
1998-06-01,East Midlands,E12000004,50196
1998-06-01,East of England,E12000006,69114
1998-06-01,West Midlands Region,E12000005,54447
1998-06-01,Yorkshire and The Humber,E12000003,44581
1998-06-01,North West,E12000002,44286
1998-06-01,England and Wales,K04000001,59405
1998-07-01,England,E92000001,60747
1998-07-01,Wales,W92000004,44741
1998-07-01,South West,E12000009,65344
1998-07-01,South East,E12000008,85688
1998-07-01,North West,E12000002,44351
1998-07-01,West Midlands Region,E12000005,54628
1998-07-01,Yorkshire and The Humber,E12000003,45145
1998-07-01,East of England,E12000006,69267
1998-07-01,East Midlands,E12000004,50172
1998-07-01,North East,E12000001,42637
1998-07-01,London,E12000007,109986
1998-07-01,England and Wales,K04000001,59712
1998-08-01,England,E92000001,60812
1998-08-01,Wales,W92000004,44861
1998-08-01,East Midlands,E12000004,50460
1998-08-01,West Midlands Region,E12000005,54727
1998-08-01,East of England,E12000006,69315
1998-08-01,Yorkshire and The Humber,E12000003,45162
1998-08-01,North West,E12000002,43958
1998-08-01,North East,E12000001,43207
1998-08-01,South West,E12000009,65202
1998-08-01,South East,E12000008,86056
1998-08-01,London,E12000007,110048
1998-08-01,England and Wales,K04000001,59770
1998-09-01,Wales,W92000004,44928
1998-09-01,England,E92000001,60950
1998-09-01,West Midlands Region,E12000005,54788
1998-09-01,South West,E12000009,64686
1998-09-01,East Midlands,E12000004,50551
1998-09-01,East of England,E12000006,70030
1998-09-01,North East,E12000001,43825
1998-09-01,North West,E12000002,44213
1998-09-01,London,E12000007,110683
1998-09-01,Yorkshire and The Humber,E12000003,44877
1998-09-01,South East,E12000008,86443
1998-09-01,England and Wales,K04000001,59904
1998-10-01,Wales,W92000004,45030
1998-10-01,England,E92000001,61281
1998-10-01,London,E12000007,111814
1998-10-01,South East,E12000008,86764
1998-10-01,West Midlands Region,E12000005,55079
1998-10-01,East of England,E12000006,70631
1998-10-01,South West,E12000009,65176
1998-10-01,East Midlands,E12000004,50788
1998-10-01,Yorkshire and The Humber,E12000003,45448
1998-10-01,North East,E12000001,43034
1998-10-01,North West,E12000002,44389
1998-10-01,England and Wales,K04000001,60217
1998-11-01,Wales,W92000004,44513
1998-11-01,England,E92000001,61235
1998-11-01,South East,E12000008,87233
1998-11-01,North West,E12000002,44445
1998-11-01,North East,E12000001,43070
1998-11-01,Yorkshire and The Humber,E12000003,44341
1998-11-01,East Midlands,E12000004,50318
1998-11-01,West Midlands Region,E12000005,54995
1998-11-01,London,E12000007,112028
1998-11-01,East of England,E12000006,70388
1998-11-01,South West,E12000009,65869
1998-11-01,England and Wales,K04000001,60177
1998-12-01,Wales,W92000004,45527
1998-12-01,England,E92000001,61660
1998-12-01,East Midlands,E12000004,50966
1998-12-01,East of England,E12000006,70361
1998-12-01,West Midlands Region,E12000005,55162
1998-12-01,Yorkshire and The Humber,E12000003,45290
1998-12-01,North East,E12000001,43413
1998-12-01,North West,E12000002,44712
1998-12-01,South East,E12000008,87262
1998-12-01,South West,E12000009,66258
1998-12-01,London,E12000007,112832
1998-12-01,England and Wales,K04000001,60652
1999-01-01,England,E92000001,62458
1999-01-01,Wales,W92000004,46307
1999-01-01,East of England,E12000006,71643
1999-01-01,Yorkshire and The Humber,E12000003,45444
1999-01-01,North East,E12000001,43627
1999-01-01,South West,E12000009,67522
1999-01-01,West Midlands Region,E12000005,56305
1999-01-01,South East,E12000008,88657
1999-01-01,London,E12000007,113488
1999-01-01,North West,E12000002,44755
1999-01-01,East Midlands,E12000004,51533
1999-01-01,England and Wales,K04000001,61432
1999-02-01,England,E92000001,62862
1999-02-01,Wales,W92000004,46119
1999-02-01,West Midlands Region,E12000005,55926
1999-02-01,London,E12000007,114551
1999-02-01,North East,E12000001,42853
1999-02-01,East of England,E12000006,72257
1999-02-01,South West,E12000009,67958
1999-02-01,East Midlands,E12000004,51379
1999-02-01,North West,E12000002,45047
1999-02-01,Yorkshire and The Humber,E12000003,45614
1999-02-01,South East,E12000008,89464
1999-02-01,England and Wales,K04000001,61739
1999-03-01,Wales,W92000004,45865
1999-03-01,England,E92000001,63364
1999-03-01,East Midlands,E12000004,52119
1999-03-01,North West,E12000002,45252
1999-03-01,South West,E12000009,69102
1999-03-01,South East,E12000008,89961
1999-03-01,Yorkshire and The Humber,E12000003,46111
1999-03-01,West Midlands Region,E12000005,56336
1999-03-01,East of England,E12000006,72474
1999-03-01,London,E12000007,116348
1999-03-01,North East,E12000001,43531
1999-03-01,England and Wales,K04000001,62220
1999-04-01,Wales,W92000004,46187
1999-04-01,England,E92000001,63693
1999-04-01,South East,E12000008,90695
1999-04-01,London,E12000007,117481
1999-04-01,East Midlands,E12000004,53251
1999-04-01,West Midlands Region,E12000005,56803
1999-04-01,North West,E12000002,45600
1999-04-01,North East,E12000001,43505
1999-04-01,Yorkshire and The Humber,E12000003,45683
1999-04-01,East of England,E12000006,73017
1999-04-01,South West,E12000009,68896
1999-04-01,England and Wales,K04000001,62545
1999-05-01,England,E92000001,64130
1999-05-01,Wales,W92000004,46019
1999-05-01,London,E12000007,118631
1999-05-01,East Midlands,E12000004,52649
1999-05-01,North East,E12000001,43419
1999-05-01,East of England,E12000006,73297
1999-05-01,South West,E12000009,69696
1999-05-01,Yorkshire and The Humber,E12000003,46317
1999-05-01,North West,E12000002,45954
1999-05-01,West Midlands Region,E12000005,56921
1999-05-01,South East,E12000008,91474
