Party name,Party abbreviation,Party MNIS ID,Party URL,Constituencies contested,Constituencies contested by party URL,Votes,Vote share,Constituencies won,Constituencies won by party URL
"Count Binface Party","CBP",1055,https://electionresults.parliament.uk/political-parties/292,1,https://electionresults.parliament.uk/general-elections/6/political-parties/292/elections,308,0.00106909773011113757,0,https://electionresults.parliament.uk/general-elections/6/political-parties/292/elections/won
"Sovereignty","Svr",1088,https://electionresults.parliament.uk/political-parties/262,2,https://electionresults.parliament.uk/general-elections/6/political-parties/262/elections,304,0.00105521334400579812,0,https://electionresults.parliament.uk/general-elections/6/political-parties/262/elections/won
"Social Justice party","SJ",1090,https://electionresults.parliament.uk/political-parties/294,1,https://electionresults.parliament.uk/general-elections/6/political-parties/294/elections,285,0.00098926251000543574,0,https://electionresults.parliament.uk/general-elections/6/political-parties/294/elections/won
"Volt United Kingdom","VUK",1056,https://electionresults.parliament.uk/political-parties/287,2,https://electionresults.parliament.uk/general-elections/6/political-parties/287/elections,267,0.00092678277253140822,0,https://electionresults.parliament.uk/general-elections/6/political-parties/287/elections/won
"Rebooting Democracy","RBD",195,https://electionresults.parliament.uk/political-parties/52,1,https://electionresults.parliament.uk/general-elections/6/political-parties/52/elections,265,0.00091984057947873849,0,https://electionresults.parliament.uk/general-elections/6/political-parties/52/elections/won
"The Yoruba Party in the UK","YPUK",1083,https://electionresults.parliament.uk/political-parties/290,1,https://electionresults.parliament.uk/general-elections/6/political-parties/290/elections,261,0.00090595619337339904,0,https://electionresults.parliament.uk/general-elections/6/political-parties/290/elections/won
"National Health Action Party","NHAP",201,https://electionresults.parliament.uk/political-parties/14,1,https://electionresults.parliament.uk/general-elections/6/political-parties/14/elections,247,0.00085736084200471097,0,https://electionresults.parliament.uk/general-elections/6/political-parties/14/elections/won
"Fairer Voting Party","FVP",1099,https://electionresults.parliament.uk/political-parties/281,1,https://electionresults.parliament.uk/general-elections/6/political-parties/281/elections,240,0.00083306316632036694,0,https://electionresults.parliament.uk/general-elections/6/political-parties/281/elections/won
"Socialist Equality Party","SEP",144,https://electionresults.parliament.uk/political-parties/74,2,https://electionresults.parliament.uk/general-elections/6/political-parties/74/elections,239,0.00082959206979403207,0,https://electionresults.parliament.uk/general-elections/6/political-parties/74/elections/won
"Communist League Election Campaign","Comm L",77,https://electionresults.parliament.uk/political-parties/77,2,https://electionresults.parliament.uk/general-elections/6/political-parties/77/elections,230,0.00079835220105701831,0,https://electionresults.parliament.uk/general-elections/6/political-parties/77/elections/won
"Common Good","CG",78,https://electionresults.parliament.uk/political-parties/131,1,https://electionresults.parliament.uk/general-elections/6/political-parties/131/elections,215,0.00074628575316199538,0,https://electionresults.parliament.uk/general-elections/6/political-parties/131/elections/won
"The Socialist Party of Great Britain","SPGB",192,https://electionresults.parliament.uk/political-parties/47,2,https://electionresults.parliament.uk/general-elections/6/political-parties/47/elections,193,0.00066992162958262841,0,https://electionresults.parliament.uk/general-elections/6/political-parties/47/elections/won
"Stockport Fights Austerity No To Cuts","SFAN",1087,https://electionresults.parliament.uk/political-parties/298,1,https://electionresults.parliament.uk/general-elections/6/political-parties/298/elections,193,0.00066992162958262841,0,https://electionresults.parliament.uk/general-elections/6/political-parties/298/elections/won
"New Open Non-Political Organised Leadership","NONPOL",1076,https://electionresults.parliament.uk/political-parties/300,1,https://electionresults.parliament.uk/general-elections/6/political-parties/300/elections,186,0.00064562395389828438,0,https://electionresults.parliament.uk/general-elections/6/political-parties/300/elections/won
"Save Us Now","SUN",1078,https://electionresults.parliament.uk/political-parties/282,1,https://electionresults.parliament.uk/general-elections/6/political-parties/282/elections,170,0.00059008640947692658,0,https://electionresults.parliament.uk/general-elections/6/political-parties/282/elections/won
"UK Voice","UKV",1079,https://electionresults.parliament.uk/political-parties/296,1,https://electionresults.parliament.uk/general-elections/6/political-parties/296/elections,150,0.00052066447895022934,0,https://electionresults.parliament.uk/general-elections/6/political-parties/296/elections/won
"Communist Future","CF",1080,https://electionresults.parliament.uk/political-parties/286,1,https://electionresults.parliament.uk/general-elections/6/political-parties/286/elections,131,0.00045471364494986695,0,https://electionresults.parliament.uk/general-elections/6/political-parties/286/elections/won
"Libertarian Party","LPUK",1003,https://electionresults.parliament.uk/political-parties/130,2,https://electionresults.parliament.uk/general-elections/6/political-parties/130/elections,113,0.00039223390747583943,0,https://electionresults.parliament.uk/general-elections/6/political-parties/130/elections/won
"Psychedelic Movement","PSY",1047,https://electionresults.parliament.uk/political-parties/174,1,https://electionresults.parliament.uk/general-elections/6/political-parties/174/elections,99,0.00034363855610715136,0,https://electionresults.parliament.uk/general-elections/6/political-parties/174/elections/won
"The Common People","CP",1029,https://electionresults.parliament.uk/political-parties/175,1,https://electionresults.parliament.uk/general-elections/6/political-parties/175/elections,91,0.00031586978389647246,0,https://electionresults.parliament.uk/general-elections/6/political-parties/175/elections/won
"Independents for Direct Democracy","IDD",1108,https://electionresults.parliament.uk/political-parties/299,1,https://electionresults.parliament.uk/general-elections/6/political-parties/299/elections,45,0.0001561993436850688,0,https://electionresults.parliament.uk/general-elections/6/political-parties/299/elections/won
